unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
1,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
2,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
3,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
4,first_frame_only,daily_action_follow,6,"Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
5,first_frame_only,daily_action_follow,6,"Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
6,first_frame_only,daily_action_follow,6,"Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
7,first_frame_only,process_layer_drift,6,"Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
8,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
9,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
10,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
11,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
12,first_frame_only,host_gentle_push,6,"Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
