unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
1,SG_OPEN_01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. The host — an older Japanese woman with silver-gray hair, gentle wrinkles around eyes and mouth, and relaxed mature posture — faces the viewer with a calm welcoming expression in a tidy Japanese living room, soft morning light from a window. Flat soft colors, low-saturation neutrals, gentle warm accents. Keep the same character identity and wardrobe family as the reference. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid moe anime drift."
2,SG_OPEN_01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. The same older Japanese woman host with silver-gray hair and gentle wrinkles gives a slight appreciative bow of the head, warm grateful expression, same tidy Japanese living room with soft morning window light. Same wardrobe family, same character identity. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid doctor costume."
3,SG_OPEN_01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair tilts her head slightly with a curious, gently questioning expression, one hand near her chin, same Japanese living room, same morning light. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
4,SG_OPEN_02,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. An older Japanese man (silver-gray hair, visible facial wrinkles, relaxed mature posture, age 65-75) sits on the edge of his futon in a small Japanese bedroom, early morning, looking tired and heavy-bodied despite having slept. Soft dawn light through a shoji screen. Flat soft colors, low-saturation neutrals. No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift."
5,SG_OPEN_02,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man from the previous scene now sits slumped slightly at a low Japanese dining table before noon, resting his cheek on one hand, looking fatigued with no clear cause. Same small Japanese apartment interior, daylight. Same wardrobe family, same aging features (silver-gray hair, wrinkles). No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift."
6,SG_OPEN_02,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair tied back, gentle wrinkles, age-appropriate posture, age 65-75) sits in a Japanese tatami room with a resigned but calm expression, lightly touching her lower back, accepting tiredness as normal aging. Warm indoor daylight. No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift, avoid dramatic expression."
7,SG_OPEN_03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic split composition: on one side, a calm Japanese morning kitchen scene with a clock showing early morning; on the other side, subtle visual cues of small daily habits (a coffee cup, slippers, a curtain) with gentle connecting lines suggesting hidden causes. Clean panel-like clarity, low clutter, warm flat colors, educational explainer tone. No readable text. Avoid infographic overload, avoid photorealistic drift."
8,SG_OPEN_03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles holds up one hand showing five fingers in a calm presentational gesture, warm encouraging expression, same Japanese living room with morning light. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
9,SG_OPEN_03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair gives a reassuring calm nod, one hand resting gently on the table, suggesting ease and simplicity. Same Japanese living room, same morning light, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
10,SG_OPEN_03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a small open-palm welcoming gesture, gentle supportive expression, same Japanese living room. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
11,SG_OPEN_03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair makes a gentle beckoning gesture forward, warm inviting expression, same Japanese living room with morning light. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
12,SG_BODY_01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles sits calmly at a Japanese table, one hand raised slightly as if about to explain something, attentive educational expression. Same Japanese living room, soft morning light. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
13,SG_BODY_01,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration of an older person's body waking up slowly: a gentle silhouette of an older Japanese person (silver hair, visible wrinkles) with a dim internal glow gradually brightening, representing the body's wake-up switch becoming harder to activate after age 60. Clean symbolic composition, low clutter, warm flat colors, soft morning palette. No readable text. Avoid infographic overload, avoid photorealistic drift."
14,SG_BODY_01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A younger Japanese adult (age 30s, dark hair) springs out of bed energetically in a small Japanese apartment, morning sunlight streaming in — shown as a brief memory or contrast. Clean editorial composition, warm morning colors. No readable text. Avoid photorealistic drift, avoid cluttered background."
15,SG_BODY_01,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, gentle wrinkles, age 65-75) sits on the edge of their bed in a Japanese bedroom, body language showing gradual awakening — stretching arms slowly, eyes half-open. A subtle visual metaphor of a dimmer switch turning slowly. Soft morning light, low-saturation warm palette. No readable text. Avoid photorealistic drift, avoid youth drift."
16,SG_BODY_01,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A gentle metaphorical scene: a small older-model car (Japanese kei car style) with the engine warming up, steam rising gently from the hood, parked in a quiet Japanese residential street in early morning light. Symbolic of the body needing time to warm up. Clean composition, warm flat colors, panel-like clarity. No readable text. Avoid photorealistic drift, avoid busy clutter."
17,SG_BODY_02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A triptych-like composition showing three morning signals side by side: soft morning sunlight through a Japanese window, a simple Japanese breakfast tray (rice, miso soup), and a pair of indoor slippers suggesting gentle movement. Clean panel-like layout, warm morning palette, educational clarity. No readable text. Avoid infographic overload, avoid photorealistic drift."
18,SG_BODY_02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: the same three morning signals (light, food, movement) shown as gentle glowing arrows reaching toward a calm human silhouette whose internal glow is now brightening — the engine starting. Clean editorial metaphor, warm flat colors, low clutter. No readable text. Avoid infographic overload, avoid photorealistic drift."
19,SG_BODY_02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A contrasting symbolic scene: the same human silhouette sits in a dim room with curtains closed, no breakfast visible, no movement — the internal glow remains dim and the body stays in half-sleep mode. Muted cool tones with faint warm accents suggesting missed signals. Clean composition. No readable text. Avoid photorealistic drift, avoid dramatic expression."
20,SG_BODY_02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, gentle wrinkles, age 65-75) lies in bed in a small Japanese bedroom, subtle visual cues of mild dehydration: a dry glass on the nightstand, thin lines of perspiration on the pillow. Early pre-dawn light, muted warm palette. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic medical imagery."
21,SG_BODY_02,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, visible wrinkles, age 65-75) sits up in bed slowly, rubbing stiff shoulder joints with one hand, expression showing mild morning stiffness. Japanese bedroom with futon, early morning light. Flat soft colors, low-saturation neutrals. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic pain expression."
22,SG_BODY_02,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles sits at a Japanese table, one hand gently emphasizing a point with a calm serious expression, conveying the importance of morning habits. Same Japanese living room, same morning light, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
23,SG_HABIT1_01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair raises one index finger gently, transitional gesture suggesting the first point, calm educational expression. Same Japanese living room, same wardrobe family, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift."
24,SG_HABIT1_01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese man (silver-gray hair, facial wrinkles, age 65-75) stands at a Japanese kitchen counter, skipping breakfast — the table is empty except for a single cup of black coffee. Morning light from a small kitchen window. Practical Japanese senior casualwear. Flat soft colors. No readable text. Avoid photorealistic drift, avoid youth drift."
25,SG_HABIT1_01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man (silver-gray hair, wrinkles) sits at an empty Japanese dining table mid-morning, drinking only coffee with no food, looking slightly low-energy. Same Japanese apartment kitchen, daylight now brighter. Same wardrobe family. No readable text. Avoid photorealistic drift, avoid youth drift."
26,SG_HABIT1_01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) finally eats a small rice ball at her Japanese kitchen table, but a wall clock behind her shows late morning (around 10 or 11). She looks somewhat tired. Ordinary Japanese apartment kitchen. Flat soft colors. No readable text. Avoid photorealistic drift, avoid youth drift."
27,SG_HABIT1_01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) shrugs lightly with a mild expression of acceptance, sitting at an empty Japanese breakfast table — acknowledging this skipping habit is common. Simple Japanese dining area, morning light. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic expression."
28,SG_HABIT1_02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: a gentle clock icon inside a human torso silhouette, with a breakfast tray (rice, miso soup, small side dish) acting as the reset button. Warm educational metaphor, clean panel-like composition, flat soft colors. No readable text. Avoid infographic overload, avoid photorealistic drift."
