unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
1,sg_01_intro,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host (an older Japanese woman) smiles warmly with a welcoming expression. Simple calm studio background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech."
2,sg_01_intro,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. An older Japanese person lies in a comfortable Japanese bedroom, looking slightly sluggish and heavy as they prepare to wake up. Morning sunlight filters through the window. No readable text. Avoid speech pose, avoid direct-to-camera speech."
3,sg_01_intro,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The same older Japanese person sits up slowly on the edge of the bed, rubbing their neck lightly. Same Japanese bedroom, morning sunlight. No readable text. Avoid speech pose, avoid direct-to-camera speech."
4,sg_01_intro,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The same older Japanese person stands up beside their bed and lightly touches a wall for balance, feeling a moment of lightheadedness. Same bedroom setting. No readable text. Avoid speech pose, avoid direct-to-camera speech."
5,sg_01_intro,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host smiles calmly and reassuringly, looking empathetic. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech."
6,sg_01_intro,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. Two older Japanese friends (a man and a woman) chatting casually while walking slowly in a Japanese neighborhood park, both looking relatable and ordinary. No readable text. Avoid speech pose, avoid direct-to-camera speech."
7,sg_01_intro,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A symbolic clean diagrammatic view of an older person's body silhouette, with soft glowing emphasis on the core and joints, showing an unseen physical burden. Minimal background. No readable text. Avoid speech pose, avoid direct-to-camera speech."
8,sg_01_intro,object_focus,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. Close-up of a simple analog clock showing early morning time next to a bedside lamp and a folded blanket, representing the critical first 5 minutes of the morning. Soft morning light. No readable text. Avoid speech pose, avoid direct-to-camera speech."
9,sg_01_intro,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host smiles reassuringly, gently holding up three fingers to introduce three habits. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech."
10,sg_01_intro,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. An older Japanese couple smoothly and easily getting ready in their morning routine. Ordinary Japanese home setting. No readable text. Avoid speech pose, avoid direct-to-camera speech."
11,sg_01_intro,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host nods encouragingly, hands folded gently, inviting the viewer to try at their own reasonable pace. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech."
12,sg_02_why_delicate,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host looks slightly curious and thoughtful, posing a gentle question about morning sensitivity. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech."
13,sg_02_why_delicate,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A gentle visual metaphor of a person sleeping peacefully under a blanket, with abstract subtle sparkling lines showing unseen internal changes happening during sleep. Nighttime cool tones. No readable text. Avoid speech pose, avoid direct-to-camera speech."
14,sg_02_why_delicate,object_focus,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A clean educational composition of a glass of water gradually lowering its level, placed on a bedside table with soft glowing light, symbolizing a decrease in the body's hydration. No readable text. Avoid speech pose, avoid direct-to-camera speech."
15,sg_02_why_delicate,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. An older Japanese person sleeping deeply and completely still in a cozy Japanese bedroom. A wall clock shows nighttime. No readable text. Avoid speech pose, avoid direct-to-camera speech."
16,sg_02_why_delicate,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A symbolic illustration of the same sleeping person showing subtle stylized breath vapor and tiny sweat droplets, demonstrating unseen water loss. No readable text. Avoid speech pose, avoid direct-to-camera speech."
17,sg_02_why_delicate,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The same sleeping person, with a stylized calm overlay showing lungs expanding and contracting gently to emphasize unseen physical activity like breathing. No readable text. Avoid speech pose, avoid direct-to-camera speech."
18,sg_02_why_delicate,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A clean educational diagram of an older person waking up and holding their throat lightly, symbolizing a mild state of morning dehydration. No readable text. Avoid speech pose, avoid direct-to-camera speech."
19,sg_02_why_delicate,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A symbolic lock or stiff mechanical hinge overlaid gently near a person's knees and shoulders, representing stiff joints in the morning. Clean diagrammatic style. No readable text. Avoid speech pose, avoid direct-to-camera speech."
20,sg_02_why_delicate,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A clean time-lapse-like overlay or multiple clock times showing a person sleeping in the exact same posture for hours in bed. Nighttime room. No readable text. Avoid speech pose, avoid direct-to-camera speech."
21,sg_02_why_delicate,comparison_pair,no_host,avoid_readable_text,,generate_locked,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A split layout showing an unmoving resting person in bed on one side, and a parked car with a cold engine on the other, representing the need for warmup. Educational clarity. No readable text. Avoid speech pose, avoid direct-to-camera speech."
