unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
1,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host blinks naturally and offers a warm, welcoming smile. Subtle room airflow. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
2,first_frame_only,daily_action_follow,6,"Observational camera drift. The sleeping figure breathes slowly, the blanket rising and falling heavily, conveying morning sluggishness. Morning light gently shifts. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
3,first_frame_only,daily_action_follow,6,"Slow camera follow. The subject rubs their neck softly while sitting on the edge of the bed. Blanket rustles gently. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
4,first_frame_only,daily_action_follow,6,"Subtle camera drift. The standing subject raises one hand to gently steady themselves against the wall. A slight, minimal sway. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
5,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host blinks sympathetically, naturally lowering her gaze momentarily in empathy. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
6,first_frame_only,daily_action_follow,6,"Wide observational drift. The two friends walk slowly along the park path, leaves rustling softly in the gentle wind. Preserve the relatable everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
7,first_frame_only,process_layer_drift,6,"Smooth layered parallax. The diagrammatic silhouette pulses softly around the core and joints, silently illustrating the unseen burden. Preserve the clean explanatory mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
8,first_frame_only,object_inspection_push,4,"Slow inspection push. The analog clock sits calmly while a subtle morning sunbeam drifts across the folded blanket. Preserve the educational focus. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
9,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host lightly gestures with three fingers, offering a mild, encouraging nod. Subtle room airflow. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
10,first_frame_only,daily_action_follow,6,"Observational pan. The older couple moves smoothly in the background, making light morning preparations without rushing. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
11,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host leans in slightly, folding hands gently with a supportive, reassuring micro-movement. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
12,first_frame_only,host_listening_drift,6,"Slow lateral camera drift. The host tilts her head slightly in a thoughtful, curious manner. Subtle room airflow. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
13,first_frame_only,process_layer_drift,6,"Smooth layered parallax drift. Delicate sparkling abstract lines hover gently over the sleeping figure, conveying inner biological changes. Nighttime cool tones remain stable. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
14,first_frame_only,object_inspection_push,4,"Slow inspection camera push. The water level in the glowing glass very subtly subsides, visually emphasizing dehydration. Preserve the clean educational focus. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
15,first_frame_only,daily_pause_observe,6,"Static observational hold. The sleeping person remains deeply still, with only the faintest rhythm of slow breathing. Preserve the quiet nighttime mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
16,first_frame_only,process_layer_drift,6,"Layered graphical drift. Stylized breath vapor softly dissipates while tiny symbolic sweat droplets slowly appear, quietly illustrating water loss. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
17,first_frame_only,process_signal_pulse,6,"Steady layer hold. The stylized lung overlay expands and contracts with a gentle, rhythmic, and continuous pulse, highlighting ongoing breathing. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
18,first_frame_only,process_layer_drift,6,"Slow educational camera pull. The waking subject touches their dry throat lightly in a gentle realizing motion. Preserve the clean educational composition. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
19,first_frame_only,process_layer_drift,6,"Smooth layered parallax. The symbolic mechanical hinge graphic softly tightens, indicating joint stiffness. Preserve the clean diagrammatic style. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
20,first_frame_only,daily_pause_observe,6,"Time-lapse style static camera. The shadows in the room shift abruptly through the night, yet the sleeping person's deep, stiff posture remains absolutely still. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
21,first_frame_only,comparison_parallax_hold,6,"Controlled hold with microscopic parallax. The split-screen contrasts the resting person and the cold car vividly, with no composition shift. Preserve the clear comparison. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
22,first_frame_only,process_signal_pulse,6,"Steady forward push. The blood pressure gauge arrow oscillates slightly, emphasizing the unstable nature of morning circulation. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
23,first_frame_only,process_layer_drift,6,"Smooth educational pan. Transparent downward arrows flow fluidly from the head to the lower body in replacing gravity dynamics. Preserve the schematic clarity. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
24,first_frame_only,comparison_reveal_shift,6,"Controlled parallax focus. The young leg muscle diagram strongly and smoothly pulses, sending blood arrows shooting upward with thick visual rhythm. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
25,first_frame_only,comparison_reveal_shift,6,"Controlled parallax focus. The senior leg muscle diagram gently and slowly squeezes, sending blood arrows upward at a notably restrained, sluggish pace. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
26,first_frame_only,daily_action_follow,6,"Observational camera drift. The subject standing from the bed raises a hand near their forehead, conveying mild dizziness with slight body hovering. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
27,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host makes a very slow, calming hand gesture, emphasizing the need for unhurried movement. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
28,first_frame_only,host_gentle_push,6,"Gentle forward camera push. The host holds up one finger and offers a steady, warm nod to introduce the habit. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
29,first_frame_only,daily_action_follow,6,"Camera reacts with a quick micro-pan. The sleeping person jolts slightly as the blanket is hastily tossed aside. Preserve the flustered mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
30,first_frame_only,daily_action_follow,6,"Tracking camera follow. The person walks briskly and urgently towards the door, their steps slightly heavy. Morning lighting casts shifting shadows. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
31,first_frame_only,process_layer_drift,6,"Smooth layered parallax. The jagged dramatic lines tremble with a subtle intense flicker around the bluish-toned body, warning of sudden burden. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
32,first_frame_only,daily_pause_observe,6,"Observational hold. The person lying in bed slowly, deliberately rolls onto their side with a calm, friction-free movement under the blanket. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
33,first_frame_only,daily_action_follow,6,"Slow camera pan. The person's hands press into the mattress, arms engaging carefully to push the torso up into an upright position smoothly. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
34,first_frame_only,host_listening_drift,6,"Slow lateral camera drift. The host points lightly with an attentive, highly reassuring expression. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
35,first_frame_only,daily_pause_observe,6,"Static observational hold. The person sits quietly on the edge of the bed, legs dangling without movement, resting calmly. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
36,first_frame_only,daily_pause_observe,6,"Static observational hold. The person is sitting on the bed edge, eyes fully closed, breathing in deep, meditative, regular intervals. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
37,first_frame_only,daily_action_follow,6,"Subtle camera drift. The person opens their eyes, lips curving into a very slight, mild, and amused smile regarding the wait. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
38,first_frame_only,process_signal_pulse,6,"Steady layer hold. The graphical gauge softly smooths out its wavering line into a steady, flat trace, visualizing stable blood pressure. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
39,first_frame_only,process_layer_drift,6,"Smooth layered parallax. The symbolic glow representing the autonomic nervous system gently radiates outward, warming up the body's center. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
