script_text,prompt_img_nano,prompt_video_veo3
みなさん、おはようございます。,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host (an older Japanese woman) smiles warmly with a welcoming expression. Simple calm studio background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Gentle forward camera push. The host blinks naturally and offers a warm, welcoming smile. Subtle room airflow. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
朝、布団のなかで起きようと思ったときに、体がおもだるく感じることはありませんか。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. An older Japanese person lies in a comfortable Japanese bedroom, looking slightly sluggish and heavy as they prepare to wake up. Morning sunlight filters through the window. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Observational camera drift. The sleeping figure breathes slowly, the blanket rising and falling heavily, conveying morning sluggishness. Morning light gently shifts. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
昔は素早く起き上がれたのに、最近は少し時間がかかるようになった。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The same older Japanese person sits up slowly on the edge of the bed, rubbing their neck lightly. Same Japanese bedroom, morning sunlight. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Slow camera follow. The subject rubs their neck softly while sitting on the edge of the bed. Blanket rustles gently. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
急に立ち上がろうとすると、血の気が引くような気がして、少し怖い思いをしたことはありませんか。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The same older Japanese person stands up beside their bed and lightly touches a wall for balance, feeling a moment of lightheadedness. Same bedroom setting. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Subtle camera drift. The standing subject raises one hand to gently steady themselves against the wall. A slight, minimal sway. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
そんな風に感じるのは、決してあなただけではありません。,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host smiles calmly and reassuringly, looking empathetic. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Gentle forward camera push. The host blinks sympathetically, naturally lowering her gaze momentarily in empathy. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
年齢を重ねるにつれて、こうした朝の不調を感じる方は、とても多くいらっしゃいます。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. Two older Japanese friends (a man and a woman) chatting casually while walking slowly in a Japanese neighborhood park, both looking relatable and ordinary. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Wide observational drift. The two friends walk slowly along the park path, leaves rustling softly in the gentle wind. Preserve the relatable everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
実は、年齢を重ねていくと、朝いちばんの体には、気づかないうちに大きな負担がかかりやすくなっています。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. A symbolic clean diagrammatic view of an older person's body silhouette, with soft glowing emphasis on the core and joints, showing an unseen physical burden. Minimal background. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Smooth layered parallax. The diagrammatic silhouette pulses softly around the core and joints, silently illustrating the unseen burden. Preserve the clean explanatory mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
起き抜けのその5分間の過ごし方が、その日一日の体の調子を決めてしまうこともあるんです。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. Close-up of a simple analog clock showing early morning time next to a bedside lamp and a folded blanket, representing the critical first 5 minutes of the morning. Soft morning light. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Slow inspection push. The analog clock sits calmly while a subtle morning sunbeam drifts across the folded blanket. Preserve the educational focus. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
この動画では、そんな朝の体を守るための、3つの習慣を一緒に確認していきましょう。,"Using the provided reference image(s) when available, generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. The channel host smiles reassuringly, gently holding up three fingers to introduce three habits. Simple calm background. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Gentle forward camera push. The host lightly gestures with three fingers, offering a mild, encouraging nod. Subtle room airflow. Preserve the warm empathetic mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
どれも今日からすぐに始められる、体に優しくて簡単な工夫ばかりです。,"Generate a clean editorial manga illustration in a seinen soft educational style, old-school 2D anime influence. An older Japanese couple smoothly and easily getting ready in their morning routine. Ordinary Japanese home setting. No readable text. Avoid speech pose, avoid direct-to-camera speech.","Observational pan. The older couple moves smoothly in the background, making light morning preparations without rushing. Preserve the calm everyday mood. Ambient audio only: gentle room tone, soft ambient foley. No spoken dialogue, no on-screen narration, no lip sync, no direct-to-camera speech, no new readable text."
