script_text,prompt_img_nano,prompt_video_veo3
毎日のお風呂、みなさんはどんなふうに過ごしていますか。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles around eyes, relaxed mature posture) sits in a warm domestic living room holding a small notebook, looking thoughtful with a gentle smile. Practical Japanese home details, flat soft colors, clean flat outlines. The character MUST appear the SAME age as the reference. NO youth drift. No readable text. (Silent video context, no speaking pose).","Gentle forward push. The subject maintains a slow, continuous micro-motion of listening or leaning in slightly, with a calm blink and soft breath. Preserve the warm domestic mood, exact character identity, and existing appearance of the source image. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
一日の終わりに湯船につかると、やっぱりほっとしますよね。,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An ordinary Japanese bathroom (yushitsu) with steam rising slightly from the warm bathtub water. The atmosphere is relaxing and comforting at the end of the day. Clean flat outlines, minimal clutter, flat soft warm earth tones. No humans in frame, just the welcoming bath environment. No readable text.","Slow environment breathing pan. Steam rises slightly from the warm bathtub water. The scene maintains a relaxing, calming atmosphere. Preserve the exact environment details and mood from the source image. (Silent video, no audio). No new readable text."
ただ、最近ちょっと気になることはありませんか。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles) sits in the same warm domestic living room, slightly tilting head with a curious, slightly concerned but calm expression. Practical Japanese home details, flat soft colors. Keep the same character identity and wardrobe family when reference continuity exists. The character MUST appear the SAME age as the reference. No readable text.","Slow listening drift. The subject performs a subtle head tilt, breathing gently, displaying a thoughtful and curious but calm demeanor. Preserve the warm domestic mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no new readable text."
たとえば、浴室に入ったときに足元がつるっと滑った感じがしたり。,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A close-up of a senior person's bare foot stepping onto a wet, slightly soapy Japanese bathroom floor tile. A cartoonish but clean action line indicates a slight slip or loss of traction. Minimal clutter, object clarity, flat soft colors. No readable text.","Gentle inspection push on the foot stepping. The foot shifts weight slightly on the wet tile, with a very subtle sliding micro-motion indicating loss of traction. Preserve the exact composition and existing appearance of the source image. (Silent video, no audio). No new readable text."
湯船から立ち上がるときに、どこかにつかまりたいなと思ったり。,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An older Japanese person (visibly elderly, gray hair, weathered hands) in silhouette or from a low angle, slowly rising from the warm water of a Japanese bathtub, their hand reaching out toward the empty wall looking for support. Clean flat outlines, object clarity, practical Japanese bathroom. No readable text.","Slow observational follow. The person continues the slow upward motion of rising from the bathtub, hand reaching with a slight seeking micro-motion toward the empty wall. Preserve the exact character identity and lighting of the source. (Silent video, no audio). No new readable text."
冬場にお風呂に入ったら、急にくらっとした経験がある方もいらっしゃるかもしれません。,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An older Japanese man (visibly elderly, silver hair, wrinkles on forehead) standing in a chilly Japanese changing room (datsuijo), shivering slightly with one hand on his forehead, indicating sudden dizziness or lightheadedness. Cool tones in the room contrasting with steam from the bathroom door. Practical Japanese home details. No readable text.","Slight pause and observe drift. The subject shivers slightly, rubbing their forehead, conveying a moment of sudden chill and lightheadedness. Steam from the background doorway drifts subtly. Preserve the cool tones and exact environment. (Silent video, no audio). No lipsync, no new readable text."
そういうちょっとした瞬間を、気にされている方はとても多いんです。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles, weathered hands) in the warm domestic living room, nodding empathetically. The mood is understanding and completely calm. Clean flat outlines, flat soft colors. Keep the same character identity and wardrobe family when reference continuity exists. No readable text.","Gentle, slow forward push. The subject nods empathetically with a slow, reassuring micro-motion, breathing calmly. Preserve the warm domestic mood, exact character identity, and existing appearance of the source image. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
でも、具体的にどこをどう見直せばいいのかって、意外とわからないものですよね。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly) in the same living room, pointing gently to a clean checklist notebook on the table. The expression is reassuring and helpful. Flat soft colors, practical Japanese home details. No readable text.","Slight lateral listening drift. The subject maintains a gentle pointing gesture toward the checklist, breathing softly, keeping a reassuring expression. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no new readable text."
この動画では、お風呂まわりで見直しておきたいポイントを3つに絞ってお話しします。,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A clean, simple diagram showing three bullet points inside a warm-colored notebook page, with small icons next to each: a bath mat, a handrail, and a thermometer. The mood is clear and organized. Clean flat outlines, minimal detail. Visible text in neat Japanese: '3つのポイント', no other readable text.","Gentle process layer drift. The diagram elements or notebook page exhibit subtle parallax, bringing the three icons and bullet points into sharper focus. Preserve the exact visible text '3つのポイント' exactly as-is. (Silent video, no audio). No new readable text."
ひとつずつ、一緒に確認していきましょう。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, smiling, gray hair) in the living room, softly gesturing with an open, welcoming hand, inviting the viewer to learn together. Warm earth tones, flat soft colors. No readable text.","Slow forward push. The subject gently extends their hand in an open, welcoming micro-motion, with a soft blink and warm expression. Preserve the exact character identity, warm earth tones, and existing appearance. (Silent video, no audio). No lip sync, no speech, no new readable text."
