unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
0,first_frame_only,host_gentle_push,6,"Gentle forward push. The subject maintains a slow, continuous micro-motion of listening or leaning in slightly, with a calm blink and soft breath. Preserve the warm domestic mood, exact character identity, and existing appearance of the source image. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
1,first_frame_only,environment_breathing_pan,6,"Slow environment breathing pan. Steam rises slightly from the warm bathtub water. The scene maintains a relaxing, calming atmosphere. Preserve the exact environment details and mood from the source image. (Silent video, no audio). No new readable text."
2,first_frame_only,host_listening_drift,6,"Slow listening drift. The subject performs a subtle head tilt, breathing gently, displaying a thoughtful and curious but calm demeanor. Preserve the warm domestic mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no new readable text."
3,first_frame_only,object_inspection_push,4,"Gentle inspection push on the foot stepping. The foot shifts weight slightly on the wet tile, with a very subtle sliding micro-motion indicating loss of traction. Preserve the exact composition and existing appearance of the source image. (Silent video, no audio). No new readable text."
4,first_frame_only,daily_action_follow,6,"Slow observational follow. The person continues the slow upward motion of rising from the bathtub, hand reaching with a slight seeking micro-motion toward the empty wall. Preserve the exact character identity and lighting of the source. (Silent video, no audio). No new readable text."
5,first_frame_only,daily_pause_observe,6,"Slight pause and observe drift. The subject shivers slightly, rubbing their forehead, conveying a moment of sudden chill and lightheadedness. Steam from the background doorway drifts subtly. Preserve the cool tones and exact environment. (Silent video, no audio). No lipsync, no new readable text."
6,first_frame_only,host_gentle_push,8,"Gentle, slow forward push. The subject nods empathetically with a slow, reassuring micro-motion, breathing calmly. Preserve the warm domestic mood, exact character identity, and existing appearance of the source image. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
7,first_frame_only,host_listening_drift,6,"Slight lateral listening drift. The subject maintains a gentle pointing gesture toward the checklist, breathing softly, keeping a reassuring expression. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no new readable text."
8,first_frame_only,process_layer_drift,6,"Gentle process layer drift. The diagram elements or notebook page exhibit subtle parallax, bringing the three icons and bullet points into sharper focus. Preserve the exact visible text '3つのポイント' exactly as-is. (Silent video, no audio). No new readable text."
9,first_frame_only,host_gentle_push,6,"Slow forward push. The subject gently extends their hand in an open, welcoming micro-motion, with a soft blink and warm expression. Preserve the exact character identity, warm earth tones, and existing appearance. (Silent video, no audio). No lip sync, no speech, no new readable text."
10,first_frame_only,comparison_reveal_shift,8,"Slow comparison reveal shift across the split composition. Emphasize the right side (small adjustment) with a subtle layer drift, while the left side remains static. Preserve the layout and clarity of the source image. (Silent video, no audio). No new readable text."
11,first_frame_only,object_in_use_micro,6,"Micro observation push on the hands. The hands make a very small, deliberate micro-motion of patting or smoothing the neatly folded towel and bath mat. Preserve the exact composition and practical home details. (Silent video, no audio). No new readable text."
12,first_frame_only,host_listening_drift,6,"Gentle lateral drift. The subject breathes calmly, maintaining a thoughtful, explanatory expression with a soft blink. Preserve the exact character identity and warm living room mood. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
13,first_frame_only,environment_breathing_pan,6,"Slow environment breathing pan across the slippery floor. Very subtle motion in the traces of water or bubbles reflecting light. Preserve the exact bathroom layout and flat soft colors. (Silent video, no audio). No new readable text."
14,first_frame_only,comparison_parallax_hold,8,"Steady comparison parallax hold. A very slow push that maintains the split framing, contrasting the dry secure step above and the ginger, wet step below. Preserve the exact alignment. (Silent video, no audio). No new readable text."
15,first_frame_only,process_layer_drift,6,"Subtle process layer drift. The simplified illustration of the person shifting weight shows a tiny, awkward balance-shifting micro-motion, emphasizing instability. Preserve the clean outlines and minimal clutter. (Silent video, no audio). No new readable text."
16,first_frame_only,daily_action_follow,6,"Slow observational follow. The person rises slightly further, swaying a tiny bit to catch their balance, while warm steam slowly billows around them. Preserve the exact character identity and bathroom atmosphere. (Silent video, no audio). No new readable text."
17,first_frame_only,object_inspection_push,4,"Gentle inspection push on the document graphic. The warning icon has a very subtle pulse or layer drift, remaining entirely factual. Preserve the exact layout and symbolic composition. (Silent video, no audio). No new readable text."
18,first_frame_only,process_signal_pulse,6,"Steady process signal pulse. The three abstract overlapping circles exhibit a very slow, subtle parallax shift, bringing the connection between age, floor, and timing into focus. Preserve the flat soft colors. (Silent video, no audio). No new readable text."
19,first_frame_only,comparison_parallax_hold,8,"Slow comparison parallax hold. The split composition remains steady, with subtle emphasis shifting between the cold blue side and the warm red side through a gentle push. Preserve the exact color contrast. (Silent video, no audio). No new readable text."
20,first_frame_only,daily_pause_observe,6,"Slight pause and observe drift. The woman clutches her robe a bit tighter with a small micro-motion and blinks or closes her eyes slowly, feeling the chilly draft. Preserve the exact character identity and temperature visuals. (Silent video, no audio). No new readable text."
21,first_frame_only,host_gentle_push,8,"Slow, empathetic forward push. The subject nods incredibly slowly and gently, breathing calmly. Preserve the highly understanding mood, the exact character identity, and the existing appearance. (Silent video, no audio). No lip sync, no speech, no new readable text."
22,first_frame_only,host_listening_drift,6,"Steady listening drift. The subject maintains the pointing gesture toward the checklist, with a confident, reassuring blink. Preserve the exact character identity, practical details, and minimal clutter. (Silent video, no audio). No lip sync, no new readable text."
23,first_frame_only,host_gentle_push,4,"Gentle forward push. The subject smiles gently, holding up one finger with a small, steadying micro-motion. Preserve the exact character identity and warm domestic scene. (Silent video, no audio). No lip sync, no direct-to-camera speech, no new readable text."
24,first_frame_only,object_inspection_push,4,"Extremely slow inspection push. The title card graphic remains clear, with a very subtle glow or parallax drift on the title elements. Preserve the visible text 'ポイント1' exactly as-is. (Silent video, no audio). No new readable text."
25,first_frame_only,environment_breathing_pan,6,"Slow environment breathing pan downwards. The noticeable sheen on the wet bathroom tile lightly catches and shifts with the light, illustrating slipperiness. Preserve the clean flat outlines. (Silent video, no audio). No new readable text."
26,first_frame_only,object_inspection_push,4,"Gentle inspection push on the drain. The small puddle of soapy water and bubbles exhibits tiny sliding or bubbling micro-motions. Preserve the flat soft colors and focus on residue. (Silent video, no audio). No new readable text."
27,first_frame_only,environment_observe_tilt,6,"Slow environment observe tilt vertically. The perspective sweeps smoothly over the typical older-style Japanese bathroom, inviting observation of the space. Preserve the exact layout and clean lines. (Silent video, no audio). No new readable text."
28,first_frame_only,daily_pause_observe,6,"Slight pause and observe drift. The bare foot hovers and hesitates with a tiny stabilizing micro-motion, as the toes tense slightly before stepping. Preserve the exact composition and object clarity. (Silent video, no audio). No new readable text."
29,first_frame_only,object_in_use_micro,6,"Micro observation push on the hands. The older hands make a slow, careful smoothing micro-motion as they pat down the textured anti-slip mat. Preserve the exact hand details and practical home look. (Silent video, no audio). No new readable text."
30,first_frame_only,daily_action_follow,6,"Slow observational follow. The person exhibits a subtle browsing micro-motion, eyes scanning the shelf, shifting their weight very slightly. Preserve the exact character identity and pharmacy setting. (Silent video, no audio). No new readable text."
31,first_frame_only,comparison_parallax_hold,8,"Steady comparison parallax hold. A very slow push on the three side-by-side bath mats, maintaining the clear layout while adding a tiny bit of dimensional layer drift. Preserve object clarity. (Silent video, no audio). No new readable text."
32,first_frame_only,object_inspection_push,4,"Gentle inspection push on the suction cups. The perspective pushes in infinitesimally on the gripping mechanism, emphasizing the seal against the flat tile. Preserve the exact clean outlines. (Silent video, no audio). No new readable text."
33,first_frame_only,object_in_use_micro,6,"Micro observation push on the hand. The hand applies a very slight downward pressure micro-motion to the suction-cup mat, showing it remains firmly fixed to the floor. Preserve minimal clutter. (Silent video, no audio). No new readable text."
34,first_frame_only,object_inspection_push,6,"Gentle inspection push on the heavy mat. The mat is shown resting firmly, with a subtle parallax confirming it sinks heavily against the bumpy floor texture. Preserve flat soft colors. (Silent video, no audio). No new readable text."
35,first_frame_only,process_layer_drift,6,"Subtle process layer drift. The puzzle-piece metaphor of mat matching shifts slightly to emphasize the connection. Preserve the object clarity and purely conceptual layout. (Silent video, no audio). No new readable text."
36,first_frame_only,object_inspection_push,4,"Gentle inspection push toward the old mat's edges. The discolored or moldy spots are brought slightly closer, highlighting the need for cleaning or replacement. Preserve the flat soft colors. (Silent video, no audio). No new readable text."
37,first_frame_only,daily_action_follow,6,"Slow observational follow. The foot steps down and the old, slimy mat slides forward a tiny fraction of an inch, accompanied by the subtle action line. Preserve the warning indicator. (Silent video, no audio). No new readable text."
38,first_frame_only,object_in_use_micro,6,"Micro observation push on the cleaning action. The gloved hands perform a tiny scrubbing or brushing micro-motion, with small foam and soapy water shifting. Preserve the practical chore mood. (Silent video, no audio). No new readable text."
39,first_frame_only,object_inspection_push,6,"Subtle inspection push. The bright new anti-slip mat is laid down smoothly, while the faded old one is pulled away in a gentle motion. Preserve the clean flat outlines. (Silent video, no audio). No new readable text."
40,first_frame_only,object_inspection_push,4,"Very slow inspection push on the classic shower chair. The chair remains completely static, emphasizing its sturdy, stable look inside the bathroom. Preserve object clarity. (Silent video, no audio). No new readable text."
41,first_frame_only,object_inspection_push,6,"Slight observation tilt. The shower chair placed over the mat displays a tiny, precarious wobble or tilt micro-motion, highlighting instability. Preserve the practical bathroom setting. (Silent video, no audio). No new readable text."
42,first_frame_only,comparison_parallax_hold,8,"Steady comparison parallax hold. The split composition remains steady, contrasting the unstable wobbling chair on the left with the solid, floor-resting chair on the right. Preserve minimal clutter. (Silent video, no audio). No new readable text."
43,first_frame_only,daily_pause_observe,6,"Slight pause and observe drift. The woman nods slowly in a conversational micro-motion, and the advisor gestures very slightly. Preserve the calm chatting mood and exact character identity. (Silent video, no audio). No lip sync, no new readable text."
44,first_frame_only,object_in_use_micro,6,"Micro observation push on the catalog. The advisor's hand performs a small pointing micro-motion to emphasize the mat textures, while the older person listens. Preserve the helpful interaction. (Silent video, no audio). No new readable text."
45,first_frame_only,object_inspection_push,4,"Extremely slow inspection push. The title card graphic remains clear, with a very subtle glow or parallax drift on the title elements. Preserve the visible text 'ポイント2' exactly as-is. (Silent video, no audio). No new readable text."
46,first_frame_only,daily_action_follow,6,"Slow observational follow. The person reaches out mid-air with a subtle searching or balancing micro-motion of the hand. Preserve the exact character identity and practical bathroom setup. (Silent video, no audio). No new readable text."
47,first_frame_only,object_in_use_micro,6,"Micro observation push on the hand and rack. The wrinkled hand grips, and the flimsy towel rack pulls or bends downward by a tiny fraction. Preserve the warning symbol and flat soft colors. (Silent video, no audio). No new readable text."
48,first_frame_only,process_layer_drift,6,"Subtle process layer drift. The abstract diagram showing downward weight force versus the weak wall mounting shifts with slow parallax, emphasizing structural failure. Preserve object clarity. (Silent video, no audio). No new readable text."
49,first_frame_only,object_inspection_push,4,"Slow inspection push on the sturdy handrail. The grip remains immobile, emphasizing unmoving solidity and trustworthiness. Preserve the flat soft colors and clean flat outlines. (Silent video, no audio). No new readable text."
50,first_frame_only,comparison_parallax_hold,8,"Steady comparison parallax hold. The diagram of three handrail shapes maintains its clear checklist layout with a very slow, controlled push, keeping minimal clutter. (Silent video, no audio). No new readable text."
51,first_frame_only,daily_action_follow,6,"Slow observational follow. The person uses the vertical handrail, exhibiting a small upward rising micro-motion, showing the firm support it provides. Preserve the exact character identity. (Silent video, no audio). No new readable text."
