unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
0,intro_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles around eyes, relaxed mature posture) sits in a warm domestic living room holding a small notebook, looking thoughtful with a gentle smile. Practical Japanese home details, flat soft colors, clean flat outlines. The character MUST appear the SAME age as the reference. NO youth drift. No readable text. (Silent video context, no speaking pose)."
1,intro_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An ordinary Japanese bathroom (yushitsu) with steam rising slightly from the warm bathtub water. The atmosphere is relaxing and comforting at the end of the day. Clean flat outlines, minimal clutter, flat soft warm earth tones. No humans in frame, just the welcoming bath environment. No readable text."
2,intro_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles) sits in the same warm domestic living room, slightly tilting head with a curious, slightly concerned but calm expression. Practical Japanese home details, flat soft colors. Keep the same character identity and wardrobe family when reference continuity exists. The character MUST appear the SAME age as the reference. No readable text."
3,slip_danger_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A close-up of a senior person's bare foot stepping onto a wet, slightly soapy Japanese bathroom floor tile. A cartoonish but clean action line indicates a slight slip or loss of traction. Minimal clutter, object clarity, flat soft colors. No readable text."
4,slip_danger_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An older Japanese person (visibly elderly, gray hair, weathered hands) in silhouette or from a low angle, slowly rising from the warm water of a Japanese bathtub, their hand reaching out toward the empty wall looking for support. Clean flat outlines, object clarity, practical Japanese bathroom. No readable text."
5,temp_danger_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An older Japanese man (visibly elderly, silver hair, wrinkles on forehead) standing in a chilly Japanese changing room (datsuijo), shivering slightly with one hand on his forehead, indicating sudden dizziness or lightheadedness. Cool tones in the room contrasting with steam from the bathroom door. Practical Japanese home details. No readable text."
6,host_transition_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles, weathered hands) in the warm domestic living room, nodding empathetically. The mood is understanding and completely calm. Clean flat outlines, flat soft colors. Keep the same character identity and wardrobe family when reference continuity exists. No readable text."
7,host_transition_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly) in the same living room, pointing gently to a clean checklist notebook on the table. The expression is reassuring and helpful. Flat soft colors, practical Japanese home details. No readable text."
8,host_transition_01,process_metaphor,no_host,exact_visible_text,"3つのポイント",generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A clean, simple diagram showing three bullet points inside a warm-colored notebook page, with small icons next to each: a bath mat, a handrail, and a thermometer. The mood is clear and organized. Clean flat outlines, minimal detail. Visible text in neat Japanese: '3つのポイント', no other readable text."
9,intro_end_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, smiling, gray hair) in the living room, softly gesturing with an open, welcoming hand, inviting the viewer to learn together. Warm earth tones, flat soft colors. No readable text."
10,intro_end_01,comparison_pair,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A split composition. Left side: heavy construction tools and a messy room renovation. Right side: a simple, clean, small adjustment like placing a bath mat. Both sides are crossed/checked to show the right side is the focus. Emphasize that we are talking about small, easy changes. Flat soft colors, object clarity. No readable text."
11,intro_end_01,object_focus,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A close-up of an older pair of hands (weathered, wrinkles, natural age spots) smoothly placing a neatly folded towel and a simple bath mat down. The focus is on small, actionable daily steps. Practical Japanese home details, flat soft colors. No readable text."
12,background_01,host_anchor,host,avoid_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustrated lifestyle handbook scene. Our Japanese senior host (visibly elderly, silver-gray hair, gentle wrinkles) in the warm living room, looking thoughtful and explanatory. Clean flat outlines, practical Japanese home details. The character MUST appear the SAME age as the reference. No readable text."
13,background_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A Japanese bathroom floor (yushitsu) covered in obvious patches of white soap bubbles and splashed water. A small wooden or plastic bath stool sits nearby. The image simply illustrates the slippery environment. Clean flat outlines, flat soft colors. No readable text."
14,background_01,comparison_pair,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A split composition. Top: an older person's slippered foot stepping securely on a dry wooden hallway floor. Bottom: a bare foot stepping gingerly onto a wet, slippery tile floor in a bathroom. The contrast highlights the difference in feeling and grip. Flat soft colors, object clarity. No readable text."
15,background_01,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A simple sequence or illustration of an older Japanese woman (visibly elderly, gray hair) trying to stand up from a low bathroom stool, showing the awkward shifting of body weight. The mood is unstable but not overly dramatic. Clean flat outlines, minimal clutter. No readable text."
16,background_01,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A close-up of an older person (silver hair visible, wrinkles) rising up from the bathtub water. Steam surrounds them. They look slightly unsteady, trying to catch their balance as their body adjusts to standing after being warmed up. Warm domestic bathroom setting. No readable text."
17,background_02,object_focus,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A clean, simple illustrative graphic showing an official-looking document or pamphlet with a subtle warning icon indicating bathroom falls. The mood is factual and serious but calm. Flat soft colors, clean outlines, no actual readable text, just symbolic layout."
18,background_02,process_metaphor,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An abstract but clear infographic showing three overlapping circles or factors: an older body (symbolized by gray hair icon), a slippery floor icon, and a stopwatch/timing icon. This represents how multiple elements combine to cause falls. Minimal detail, flat soft colors. No readable text."
19,background_03,comparison_pair,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. A split composition showing a temperature difference. Left: a chilly, bluish-tinted changing room (datsuijo). Right: a warm, reddish/orangish-tinted steamy bathroom. The contrast illustrates the harsh temperature gap. Clean flat outlines, object clarity. No readable text."
20,background_03,everyday_example,no_host,avoid_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook scene. An older Japanese woman (visibly elderly, white hair, wrinkles) stepping from the warm bathroom into the cold changing room, clutching her robe tightly and closing her eyes as she experiences a brief moment of lightheaded dizziness. Practical Japanese home details. No readable text."
