unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
1,SG01_opening,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A visibly elderly Japanese woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture) sits in a tidy Japanese apartment living room, looking warmly toward the viewer with a calm welcoming expression. Soft summer daylight through a curtained window, clean flat outlines, warm earth tones, low saturation. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid clutter."
2,SG01_opening,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A Japanese TV screen showing a weather forecast with a bright sun icon and heat-wave visual, placed on a low wooden TV stand in an ordinary Japanese living room. Summer daylight, warm earth tones, flat soft colors, object clarity, minimal clutter. No readable text. Avoid random English signage, avoid photorealistic drift."
3,SG01_opening,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A simple split composition: on the left, a bright sunny outdoor scene with heat shimmer; on the right, the interior of an ordinary Japanese apartment living room where warmth is subtly visible through soft wavy heat lines near the ceiling. Clean flat outlines, warm earth tones, low saturation. No readable text. Avoid clutter, avoid photorealistic drift."
4,SG01_opening,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A visibly elderly Japanese woman (silver-gray hair, wrinkles, relaxed mature posture, comfortable indoor clothing) sitting on a sofa in a warm Japanese apartment living room, lightly fanning herself with a hand fan, unaware of the rising indoor heat shown by subtle wavy heat lines above. Soft summer daylight, flat soft colors, warm earth tones. No readable text. Avoid speech pose, avoid youth drift, avoid clutter."
5,SG01_opening,object_focus,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A clean composition showing three simple icons or objects arranged neatly: a small thermometer, a glass of water, and a human silhouette with a small alert mark near the chest — representing the three key topics. Retro-clean flat outlines, warm earth tones, low saturation, checklist-friendly layout. No readable text. Avoid infographic overload, avoid clutter."
6,SG01_opening,object_focus,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. Three domestic objects arranged in a neat row on a Japanese low table: a compact room thermometer, a glass of barley tea, and a small notebook with a body-check icon on its cover. Clean flat outlines, object clarity, warm earth tones, selective warm accent on each item. No readable text. Avoid clutter, avoid photorealistic drift."
7,SG01_opening,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. The same visibly elderly Japanese woman (silver-gray hair, gentle wrinkles, relaxed posture, comfortable summer indoor clothing) gestures gently with one hand in a reassuring manner in her tidy Japanese living room. Calm, inviting atmosphere, soft summer daylight. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid clutter."
8,SG02_data_indoor_heat,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A calm transition scene: a Japanese apartment living room with a wall-mounted thermometer showing a warm reading, sunlight streaming through a window, and a small electric fan sitting idle on the floor. Warm earth tones, flat soft colors, soft summer daylight, minimal clutter, object clarity. No readable text. Avoid photorealistic drift."
9,SG02_data_indoor_heat,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A symbolic clean composition showing a large number silhouette representing approximately 97000, with small simplified ambulance icons at the base, against a plain warm-toned background suggesting summer. Clean flat outlines, low saturation, minimal clutter, warm earth tones. No readable text. Avoid infographic overload, avoid photorealistic drift."
10,SG02_data_indoor_heat,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A clean symbolic bar or area chart silhouette emphasizing a peak — the tallest column highlighted with a warm accent color — representing a record-high figure. Simple, minimal, flat soft colors, warm earth tones, clean flat outlines, no axis labels. No readable text. Avoid infographic overload, avoid clutter."
11,SG02_data_indoor_heat,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A symbolic pie-chart-like composition with the larger segment (roughly 57 percent) subtly highlighted with a warm accent, containing small simplified silhouettes of elderly people (gray hair, slightly stooped posture). Clean flat outlines, warm earth tones, low saturation, minimal clutter. No readable text. Avoid infographic overload."
