script_text,prompt_img_nano,prompt_video_veo3
みなさん、今日もお元気ですか。,"Using the provided reference image(s), generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A visibly elderly Japanese woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture) sits in a tidy Japanese apartment living room, looking warmly toward the viewer with a calm welcoming expression. Soft summer daylight through a curtained window, clean flat outlines, warm earth tones, low saturation. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid clutter.","Gentle slow push toward the subject. She blinks softly and shifts her weight slightly, hands resting calmly on her lap. Nearby curtain sways faintly in a summer breeze. Preserve the warm welcoming mood, the exact character identity, and the existing appearance of the source image. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
夏が近づくと、天気予報で「猛暑」という言葉をよく聞くようになりますね。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A Japanese TV screen showing a weather forecast with a bright sun icon and heat-wave visual, placed on a low wooden TV stand in an ordinary Japanese living room. Summer daylight, warm earth tones, flat soft colors, object clarity, minimal clutter. No readable text. Avoid random English signage, avoid photorealistic drift.","Slow gentle tilt upward across the TV screen area. The weather forecast sun icon pulses faintly with a warm glow. Soft light shifts across the living room wall. Preserve the calm informational mood and the existing scene composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
ただ、暑さの影響は、外出のときだけとは限りません。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A simple split composition: on the left, a bright sunny outdoor scene with heat shimmer; on the right, the interior of an ordinary Japanese apartment living room where warmth is subtly visible through soft wavy heat lines near the ceiling. Clean flat outlines, warm earth tones, low saturation. No readable text. Avoid clutter, avoid photorealistic drift.","Gentle lateral parallax drift from outdoor side to indoor side. Heat shimmer lines near the ceiling ripple softly. Outdoor light pulses with a faint warm glow while the indoor area remains still. Preserve the split composition and the explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
おうちの中にいても、気づかないうちに体に負担がかかっていることがあります。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A visibly elderly Japanese woman (silver-gray hair, wrinkles, relaxed mature posture, comfortable indoor clothing) sitting on a sofa in a warm Japanese apartment living room, lightly fanning herself with a hand fan, unaware of the rising indoor heat shown by subtle wavy heat lines above. Soft summer daylight, flat soft colors, warm earth tones. No readable text. Avoid speech pose, avoid youth drift, avoid clutter.","Gentle slow push. The woman fans herself with a subtle wrist motion, the hand fan moves gently back and forth. Heat shimmer lines above drift slowly upward. Preserve the calm domestic mood and the exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
この動画では、ひとり暮らしの方が夏を安心して過ごすために、見直しておきたいポイントを三つに絞って整理します。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A clean composition showing three simple icons or objects arranged neatly: a small thermometer, a glass of water, and a human silhouette with a small alert mark near the chest — representing the three key topics. Retro-clean flat outlines, warm earth tones, low saturation, checklist-friendly layout. No readable text. Avoid infographic overload, avoid clutter.","Slow inspection push toward the three objects. A faint warm glow pulses gently on each item in sequence — thermometer, glass, notebook. Preserve the checklist layout and warm explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
部屋の温度、水分のとり方、そして体の変化サインです。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. Three domestic objects arranged in a neat row on a Japanese low table: a compact room thermometer, a glass of barley tea, and a small notebook with a body-check icon on its cover. Clean flat outlines, object clarity, warm earth tones, selective warm accent on each item. No readable text. Avoid clutter, avoid photorealistic drift.","Gentle push toward the low table objects. A subtle warm highlight drifts across the thermometer, barley tea glass, and notebook in turn. Preserve the domestic setting and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
どれもむずかしいことではありませんので、気になるところだけでも確認してみてください。,"Using the provided reference image(s), generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. The same visibly elderly Japanese woman (silver-gray hair, gentle wrinkles, relaxed posture, comfortable summer indoor clothing) gestures gently with one hand in a reassuring manner in her tidy Japanese living room. Calm, inviting atmosphere, soft summer daylight. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid clutter.","Gentle slow push. The woman makes a small reassuring hand gesture, fingers opening slightly. Her clothing shifts with a subtle breath movement. Preserve the warm inviting atmosphere, the exact character identity, and the existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
まず、室内の暑さについて、少しデータを見てみましょう。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A calm transition scene: a Japanese apartment living room with a wall-mounted thermometer showing a warm reading, sunlight streaming through a window, and a small electric fan sitting idle on the floor. Warm earth tones, flat soft colors, soft summer daylight, minimal clutter, object clarity. No readable text. Avoid photorealistic drift.","Slow breathing pan across the living room. Sunlight through the window brightens gradually. The small electric fan's blades are still. Faint dust motes drift in the light beam. Preserve the calm transitional mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
2024年の夏、熱中症で救急搬送された方は、全国でおよそ9万7千人にのぼりました。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A symbolic clean composition showing a large number silhouette representing approximately 97000, with small simplified ambulance icons at the base, against a plain warm-toned background suggesting summer. Clean flat outlines, low saturation, minimal clutter, warm earth tones. No readable text. Avoid infographic overload, avoid photorealistic drift.","Gentle push toward the symbolic composition. The ambulance icons at the base pulse with a faint warm-orange glow one by one. Preserve the clean informational layout and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
これは、調査を始めてから最も多い数字です。,"Generate a retro-clean 2D illustration in an illustrated lifestyle handbook style. A clean symbolic bar or area chart silhouette emphasizing a peak — the tallest column highlighted with a warm accent color — representing a record-high figure. Simple, minimal, flat soft colors, warm earth tones, clean flat outlines, no axis labels. No readable text. Avoid infographic overload, avoid clutter.","Slow push toward the peak column. The tallest bar pulses with a warm accent glow. Preserve the minimal chart composition and explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
