unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
1,first_frame_only,host_gentle_push,6,"Gentle slow camera push. The subject blinks naturally, presenting a warm reassuring postural adjustment. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
2,first_frame_only,daily_pause_observe,6,"Slow camera pan revealing the scene. The subject executes a slow, deliberate everyday movement, while clothing shifts gently. Mild air currents visible in the sunlight. Gentle steam or heat haze is visible near the stove. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
3,first_frame_only,process_layer_drift,6,"Controlled parallax drift across the graphic elements. Abstract elements float or pulse very gently for educational emphasis. Background and foreground layers separate slightly. Preserve the symbolic explanation and graphic clarity exactly as-is. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No chaotic physics, no scene redesign, no new readable text."
4,first_frame_only,daily_pause_observe,6,"Slow camera pan revealing the scene. The subject executes a slow, deliberate everyday movement, while clothing shifts gently. Mild air currents visible in the sunlight. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
5,first_frame_only,host_gentle_push,6,"Gentle slow camera push. The subject blinks naturally, presenting a warm reassuring postural adjustment. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
6,first_frame_only,host_listening_drift,6,"Subtle sideways camera drift. The subject tilts their head slightly in a soft affirmative motion. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
7,first_frame_only,process_layer_drift,6,"Controlled parallax drift across the graphic elements. Abstract elements float or pulse very gently for educational emphasis. Sponge texture and moisture remain crisp. Background and foreground layers separate slightly. Gentle steam or heat haze is visible near the stove. Keep refrigerator items exactly as arranged without morphing. Preserve the symbolic explanation and graphic clarity exactly as-is. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No chaotic physics, no scene redesign, no new readable text."
8,first_frame_only,host_listening_drift,6,"Subtle sideways camera drift. The subject tilts their head slightly in a soft affirmative motion. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
9,first_frame_only,environment_breathing_pan,8,"Slow breathing pan across the serene room. No human action. Curtains or distant foliage drift gently in the summer breeze, light beams move slowly. Preserve the calm time-of-day lighting and peaceful domestic mood. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast pan, no lighting changes."
10,first_frame_only,daily_pause_observe,6,"Slow camera pan revealing the scene. The subject adjusts their posture deliberately. Mild air currents visible in the sunlight. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
