unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
1,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands in a warm domestic Japanese kitchen, looking slightly tired. Warm earth tones. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
2,SG01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands in front of a domestic kitchen stove, lightly wiping sweat from her forehead with a towel or handkerchief. Warm earth tones. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
3,SG01,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. Clean symbolic scene of a Japanese kitchen interior enveloped in a faint warm-color wash to represent trapped heat and humidity. No human subject. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
4,SG01,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands at the kitchen counter chopping vegetables in her everyday routine, comfortable and familiar. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
5,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) pauses her cooking, looking thoughtfully and calmly at her kitchen space, expressing a reassuring sense of realization. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
6,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) smiles warmly, gesturing gently with one hand in a welcoming, reassuring manner, inviting the viewer to review the kitchen. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
7,SG01,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. Four simple, clear icons arranged neatly: a refrigerator, an exhaust fan, a gas stove, and a clean sponge, representing the four safety points. Checklist-friendly layout. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
8,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) smiles gently, nodding reassuringly, conveying that small steps are enough. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
9,SG02,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. A calm, wide shot of a neatly kept Japanese kitchen filled with warm summer sunlight streaming through the window. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
10,SG02,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese man (70s, gray hair, wrinkles) resting in an indoor chair, looking a bit exhausted from indoor heat. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech."
