script_text,prompt_img_nano,prompt_video_veo3
みなさん、夏の台所に立つと、思ったより体が疲れることはありませんか。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands in a warm domestic Japanese kitchen, looking slightly tired. Warm earth tones. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Gentle slow camera push. The subject blinks naturally, presenting a warm reassuring postural adjustment. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
梅雨の時期が終わって暑さが本格的になると、コンロの前に立つだけで汗がにじんでくる、そういう経験をされている方も多いと思います。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands in front of a domestic kitchen stove, lightly wiping sweat from her forehead with a towel or handkerchief. Warm earth tones. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Slow camera pan revealing the scene. The subject executes a slow, deliberate everyday movement, while clothing shifts gently. Mild air currents visible in the sunlight. Gentle steam or heat haze is visible near the stove. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
夏の台所は、気温と湿度が重なって、ふだんより体への負担がかかりやすい環境になっています。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. Clean symbolic scene of a Japanese kitchen interior enveloped in a faint warm-color wash to represent trapped heat and humidity. No human subject. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Controlled parallax drift across the graphic elements. Abstract elements float or pulse very gently for educational emphasis. Background and foreground layers separate slightly. Preserve the symbolic explanation and graphic clarity exactly as-is. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No chaotic physics, no scene redesign, no new readable text."
台所は毎日使う場所だからこそ、いつものやり方で過ごしてしまいがちです。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) stands at the kitchen counter chopping vegetables in her everyday routine, comfortable and familiar. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Slow camera pan revealing the scene. The subject executes a slow, deliberate everyday movement, while clothing shifts gently. Mild air currents visible in the sunlight. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
でも、季節の変わり目には、少しだけ立ち止まって見直してみると、安心につながることがあります。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) pauses her cooking, looking thoughtfully and calmly at her kitchen space, expressing a reassuring sense of realization. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Gentle slow camera push. The subject blinks naturally, presenting a warm reassuring postural adjustment. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
今日はそんな夏の台所まわりを、無理のない範囲で一緒に確認していきましょう。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) smiles warmly, gesturing gently with one hand in a welcoming, reassuring manner, inviting the viewer to review the kitchen. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Subtle sideways camera drift. The subject tilts their head slightly in a soft affirmative motion. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
この動画でお伝えするのは、食材の管理・換気と暑さ対策・火の元の安全、そして衛生管理のコツ、この四つのポイントです。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. Four simple, clear icons arranged neatly: a refrigerator, an exhaust fan, a gas stove, and a clean sponge, representing the four safety points. Checklist-friendly layout. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Controlled parallax drift across the graphic elements. Abstract elements float or pulse very gently for educational emphasis. Sponge texture and moisture remain crisp. Background and foreground layers separate slightly. Gentle steam or heat haze is visible near the stove. Keep refrigerator items exactly as arranged without morphing. Preserve the symbolic explanation and graphic clarity exactly as-is. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No chaotic physics, no scene redesign, no new readable text."
どれかひとつでも、今日から少し意識していただけたら、それで十分です。,"Using the provided reference image(s) when available, generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese woman (60s, silver-gray hair, visible wrinkles, mature posture) smiles gently, nodding reassuringly, conveying that small steps are enough. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Subtle sideways camera drift. The subject tilts their head slightly in a soft affirmative motion. Background elements remain still. Preserve the warm conversational mood, exact identity, and wardrobe. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests."
まず最初に、なぜ夏の台所を見直すことが大切なのか、背景を少しお話しします。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. A calm, wide shot of a neatly kept Japanese kitchen filled with warm summer sunlight streaming through the window. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Slow breathing pan across the serene room. No human action. Curtains or distant foliage drift gently in the summer breeze, light beams move slowly. Preserve the calm time-of-day lighting and peaceful domestic mood. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast pan, no lighting changes."
消防庁などのデータでは、熱中症は屋外だけでなく、自宅の中で起きることも非常に多いとされています。,"Generate a retro-clean 2D illustration with clean flat outlines and flat soft colors in an illustrated lifestyle handbook style. An older Japanese man (70s, gray hair, wrinkles) resting in an indoor chair, looking a bit exhausted from indoor heat. Keep the same character identity and wardrobe family when reference continuity exists. No readable text. Avoid photorealistic rendering, avoid busy clutter, avoid direct-to-camera speech.","Slow camera pan revealing the scene. The subject adjusts their posture deliberately. Mild air currents visible in the sunlight. Preserve the practical domestic mood and exact human identity. (Silent video, no audio). No lip sync, no direct-to-camera speech, no spoken dialogue, no singing, no chanting, no mouth-performance acting, no ambient audio requests. No fast dramatic action."
