script_text,prompt_img_nano,prompt_video_veo3
暑さ対策はちゃんとしている、そう思って夏を過ごしていませんか。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Wide view of a Japanese apartment living room in summer â€” electric fan running, sheer curtains half-drawn with soft afternoon sunlight, a glass of water on a low wooden table, indoor slippers near the sofa. Warm peaceful domestic atmosphere. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow breathing pan across the room from left to right. The electric fan blades rotate gently, sheer curtains drift in faint airflow, and afternoon sunlight shifts subtly on the wooden table surface. Preserve the calm domestic mood and existing composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient sound."
エアコンもつけているし、水も飲んでいる。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Close-up of a Japanese living room side table: an air-conditioner remote control next to a half-finished glass of water. Soft afternoon light through curtains, same summer living room. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Gentle push toward the AC remote and the half-finished glass of water. Faint condensation droplet slides down the glass surface. Preserve the warm afternoon lighting and object arrangement. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient sound."
でも、それだけで本当に大丈夫かどうか、ふと気になることはありませんか。,"Using the provided reference image(s), generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. An elderly Japanese woman (65-75) with silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, lightweight summer clothing, sitting in an armchair in a Japanese living room and gazing toward the window with a slightly thoughtful expression. Soft summer light, same room. The character MUST appear aged 65-75. NO youth reduction. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow gentle push toward the woman's face as she turns slightly toward the window. A faint breeze moves the curtain beside her. She breathes naturally with a small reflective head tilt — no speech. Preserve character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text."
じつは、ふだんの暮らしの中に、気づきにくいサインがいくつか隠れていることがあるんです。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Overhead view of a Japanese living room showing everyday summer items â€” glass of water, electric fan, AC remote, half-drawn curtains â€” each positioned with visual clarity like checkpoints. Same room setting. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow overhead drift across the room items — glass, fan, remote, curtains — with gentle afternoon light shifting. Each object catches a subtle highlight as the camera passes. Preserve composition and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text."
今日は、夏に見落としやすい3つのサインを、ひとつずつ一緒に確認していきます。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Three objects in a clean horizontal layout against a soft warm background: a glass of water, a small digital thermometer-hygrometer, and a bedside water bottle beside a pillow. Checklist-style preview composition. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Gentle lateral drift across the three objects from left to right. Soft shadow shift on the warm background as if a cloud passes. Each object stays sharp as camera moves. (Silent video, no audio). No lip sync, no speech, no new readable text."
特別な道具はいりません。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Simple Japanese kitchen counter with only a glass and a ceramic water pitcher. Bright clean minimal composition emphasizing simplicity and low barrier. Morning light from a window. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow push toward the glass and pitcher. A small light reflection moves across the water surface. Clean minimal scene stays undisturbed. (Silent video, no audio). No lip sync, no speech, no new readable text."
毎日の暮らしの中で、どこに気をつけるかを整理するだけです。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. View from a Japanese apartment hallway looking into connected rooms â€” living room, kitchen area, and bedroom doorway visible. Clean domestic layout suggesting daily checkpoint areas. Soft summer daylight. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow forward drift through the hallway toward the connected rooms. Soft daylight shifts on the floor. Doorways to rooms become slightly clearer as camera advances. (Silent video, no audio). No lip sync, no speech, no new readable text."
それだけで、夏の過ごし方が少し変わるかもしれません。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Soft afternoon summer light filtering through sheer curtains in a Japanese living room. Curtains gently catching light. Warm peaceful closing atmosphere, same room setting as opening. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Gentle downward tilt from the window to the living room. Curtains sway faintly in a breeze. Warm afternoon light dapples softly across the floor. Preserve peaceful atmosphere. (Silent video, no audio). No lip sync, no speech, no new readable text."
まず、少しだけ背景をお話しさせてください。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Japanese living room from a slightly different angle, neutral informational atmosphere. Summer light, same domestic setting, transitioning to educational tone. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow lateral pan across the living room from the new angle. Soft light shifts on walls. Calm informational atmosphere maintained. (Silent video, no audio). No lip sync, no speech, no new readable text."
なぜ、対策をしているつもりでも、危険が見えにくいのでしょうか。,"Generate a retro-clean 2D illustration, illustrated lifestyle handbook style, flat soft colors, warm earth tones, object clarity, minimal clutter. Conceptual view of a Japanese apartment interior with subtle warm-tone glow emanating from walls and ceiling, visual metaphor for invisible indoor warmth the occupant cannot sense. Clean educational composition. No readable text. Avoid photorealistic rendering, speech pose, lip sync, cluttered composition.","Slow parallax drift revealing warm glow layers on walls and ceiling. Faint heat-shimmer-like gradient shifts subtly. Educational atmosphere preserved. (Silent video, no audio). No lip sync, no speech, no new readable text."
