unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
0,first_frame_only,paper_theater_breathing_pan,4,"Slow atmospheric pan across the quiet kamishibai card. The paper-theater scene remains still and composed. Paper grain, soft light, and faint curtain movement create gentle breathing motion. The mood remains calm, warm, and reassuring. (Silent video, no audio). No fast pans, no sudden changes, no character action, no dialogue."
1,first_frame_only,paper_theater_breathing_pan,4,"Slow atmospheric pan across the quiet kamishibai card. The paper-theater scene remains still and composed. Paper grain, soft light, and faint curtain movement create gentle breathing motion. The mood remains calm, warm, and reassuring. (Silent video, no audio). No fast pans, no sudden changes, no character action, no dialogue."
2,first_frame_only,paper_theater_breathing_pan,4,"Slow atmospheric pan across the quiet kamishibai card. The paper-theater scene remains still and composed. Paper grain, soft light, and faint curtain movement create gentle breathing motion. The mood remains calm, warm, and reassuring. (Silent video, no audio). No fast pans, no sudden changes, no character action, no dialogue."
3,first_frame_only,paper_theater_breathing_pan,4,"Slow atmospheric pan across the quiet kamishibai card. The paper-theater scene remains still and composed. Paper grain, soft light, and faint curtain movement create gentle breathing motion. The mood remains calm, warm, and reassuring. (Silent video, no audio). No fast pans, no sudden changes, no character action, no dialogue."
4,first_frame_only,paper_theater_breathing_pan,4,"Slow atmospheric pan across the quiet kamishibai card. The paper-theater scene remains still and composed. Paper grain, soft light, and faint curtain movement create gentle breathing motion. The mood remains calm, warm, and reassuring. (Silent video, no audio). No fast pans, no sudden changes, no character action, no dialogue."
5,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
6,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
7,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
8,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
9,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
10,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
11,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
12,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
13,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
14,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
15,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
16,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
17,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
18,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
19,first_frame_only,daily_action_follow,6,"Gentle observing static shot with a very subtle parallax drift. The elderly woman makes slow, deliberate micro-movements; hands and posture adjust naturally without instability or falling. Dust motes drift softly in warm light; fabric edges move barely. The mood remains calm, warm, and reassuring. (Silent video, no audio). No sudden movements, no dialogue, no vocalization, no mouth movement, no lip sync, no falling."
