unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
0,first_frame_only,daily_action_follow,8,danger_reveal,the messy bag and stressed expression,"Solution demo beat 0. Smooth lateral follow. The subject continues their everyday task naturally focusing on the messy bag and stressed expression. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 0]"
1,first_frame_only,object_inspection_push,6,danger_reveal,disorganized cards and papers,"Danger reveal beat 1. Slow macro drift over the object. The object remains perfectly still focusing on disorganized cards and papers. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 1]"
2,first_frame_only,daily_action_follow,8,near_miss,rushed footwear action,"Danger reveal beat 2. Smooth lateral follow. The subject continues their everyday task naturally focusing on rushed footwear action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 2]"
3,first_last_frame_transition,comparison_parallax_hold,6,contrast,messy bag vs clock,"Near miss beat 3. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on messy bag vs clock. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 3]"
4,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 4. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 4]"
5,first_frame_only,host_gentle_push,6,expert_emphasis,the host explaining,"Expert emphasis beat 5. Slow, reassuring push toward the host. The host gives a subtle nod and gentle hand gesture focusing on the host explaining. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 5]"
6,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 6. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 6]"
7,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 7. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 7]"
8,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 8. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 8]"
9,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 9. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 9]"
10,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 10. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 10]"
11,first_frame_only,host_gentle_push,6,expert_emphasis,the host explaining,"Expert emphasis beat 11. Slow, reassuring push toward the host. The host gives a subtle nod and gentle hand gesture focusing on the host explaining. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 11]"
