unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
0,first_frame_only,host_gentle_push,6,"Very slow, subtle push-in camera motion. The elderly Japanese narrator breathes gently, eyes blinking naturally, maintaining a warm, steady, reassuring expression. Soft ambient light shifts almost imperceptibly. The atmosphere is warm, reassuring, and calm. (Silent video, no audio). No rapid movement, no speech, no lip movement, no vocalization, no mouth-open acting."
1,first_frame_only,host_gentle_push,6,"Very slow, subtle push-in camera motion. The elderly Japanese narrator breathes gently, eyes blinking naturally, maintaining a warm, steady, reassuring expression. Soft ambient light shifts almost imperceptibly. The atmosphere is warm, reassuring, and calm. (Silent video, no audio). No rapid movement, no speech, no lip movement, no vocalization, no mouth-open acting."
2,first_frame_only,daily_action_follow,6,"Gentle, observing static shot with a very subtle pan. The elderly woman moves with slow, deliberate micro-movements, her hands shifting slightly and posture adjusting naturally. Dust motes drift softly in the warm light; subtle fabric movement. The atmosphere is serene, lived-in, and peaceful. (Silent video, no audio). No sudden movements, no speech, no lip sync, no dramatic falls or action."
3,first_frame_only,daily_action_follow,6,"Gentle, observing static shot with a very subtle pan. The elderly woman moves with slow, deliberate micro-movements, her hands shifting slightly and posture adjusting naturally. Dust motes drift softly in the warm light; subtle fabric movement. The atmosphere is serene, lived-in, and peaceful. (Silent video, no audio). No sudden movements, no speech, no lip sync, no dramatic falls or action."
4,first_frame_only,daily_action_follow,6,"Gentle, observing static shot with a very subtle pan. The elderly woman moves with slow, deliberate micro-movements, her hands shifting slightly and posture adjusting naturally. Dust motes drift softly in the warm light; subtle fabric movement. The atmosphere is serene, lived-in, and peaceful. (Silent video, no audio). No sudden movements, no speech, no lip sync, no dramatic falls or action."
5,first_frame_only,environment_breathing_pan,4,"Slow, atmospheric pan across the quiet Japanese space. The scene remains still. Dust motes dance softly in the warm shafts of light; a faint breeze barely stirs a curtain. The atmosphere is quiet, contemplative, and still. (Silent video, no audio). No fast pans, no sudden changes, no character presence."
6,first_frame_only,environment_breathing_pan,4,"Slow, atmospheric pan across the quiet Japanese space. The scene remains still. Dust motes dance softly in the warm shafts of light; a faint breeze barely stirs a curtain. The atmosphere is quiet, contemplative, and still. (Silent video, no audio). No fast pans, no sudden changes, no character presence."
7,first_frame_only,daily_action_follow,6,"Gentle, observing static shot with a very subtle pan. The elderly woman moves with slow, deliberate micro-movements, her hands shifting slightly and posture adjusting naturally. Dust motes drift softly in the warm light; subtle fabric movement. The atmosphere is serene, lived-in, and peaceful. (Silent video, no audio). No sudden movements, no speech, no lip sync, no dramatic falls or action."
8,first_frame_only,environment_breathing_pan,4,"Slow, atmospheric pan across the quiet Japanese space. The scene remains still. Dust motes dance softly in the warm shafts of light; a faint breeze barely stirs a curtain. The atmosphere is quiet, contemplative, and still. (Silent video, no audio). No fast pans, no sudden changes, no character presence."
9,first_frame_only,daily_action_follow,6,"Gentle, observing static shot with a very subtle pan. The elderly woman moves with slow, deliberate micro-movements, her hands shifting slightly and posture adjusting naturally. Dust motes drift softly in the warm light; subtle fabric movement. The atmosphere is serene, lived-in, and peaceful. (Silent video, no audio). No sudden movements, no speech, no lip sync, no dramatic falls or action."
