unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
0,SG_01_opening,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. A warm elderly Japanese woman narrator (silver-gray hair in a soft bun, gentle wrinkles around eyes and mouth, relaxed mature posture) sits at a low table in a simple tatami room, hands resting gently, calm inviting expression as if about to begin a story. Soft morning light, muted warm earth tones, warm cream paper base, kamishibai stage-like border framing. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid digital anime rendering, glossy CG, photorealism, speech pose, lip sync."
1,SG_01_opening,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman narrator (silver-gray hair, gentle wrinkles, weathered hands) in the same tatami room, gesturing gently with one hand as if introducing someone, warm storytelling expression. Same soft morning light, same muted earth-tone palette, kamishibai frame. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid digital anime, glossy CG, photorealism, speech pose."
2,SG_02_haruko_intro,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. A visibly elderly Japanese woman (age 68, silver-gray hair tied back loosely, gentle wrinkles around eyes, slightly weathered face, comfortable house clothes) stands in a small Japanese apartment doorway, calm and composed. Simple Japanese interior details — shoe shelf, indoor slippers. Warm ochre and soft green tones, cream paper texture, kamishibai frame border. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, speech pose."
3,SG_02_haruko_intro,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles, relaxed posture, comfortable casual Japanese clothes) carefully tending a small flower bed in a modest Japanese garden, kneeling with weathered hands touching soil. Small potted plants, garden tools, low hedge. Gentle morning light, muted warm colors, cream paper grain visible, kamishibai frame. No readable text. Avoid photorealism, glossy CG, digital anime, youth drift."
4,SG_02_haruko_intro,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles, mature gait) walking along a quiet Japanese neighborhood street toward a small local supermarket, carrying a reusable shopping bag. Japanese residential architecture, small shops, utility poles. Warm afternoon light, muted earth tones, soft ochre, visible paper texture, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, Western architecture."
5,SG_02_haruko_intro,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. A quiet Japanese apartment interior — low table with a teacup, folded cloth, a small vase with a single flower, afternoon light filtering through shoji screens. Peaceful, lived-in domestic atmosphere suggesting a calm daily routine. Muted warm tones, soft ochre and gentle greens, cream paper base, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, cluttered composition."
6,SG_03_morning_incident,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Early morning Japanese bedroom — a futon laid out on tatami, shoji screens with the faintest hint of dawn light filtering through. Still, quiet atmosphere before waking. Muted indigo and soft dawn colors, warm cream paper texture, kamishibai frame border. No readable text. Avoid photorealism, digital anime, glossy CG, bright colors."
7,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair spread on pillow, gentle wrinkles visible, weathered hands on futon edge) just opening her eyes in a futon on tatami. Soft dawn light through shoji. Calm, sleepy expression. Muted warm tones, faded indigo, cream paper grain, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift."
8,SG_03_morning_incident,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Close-up of shoji screens in a Japanese bedroom — soft early-morning light filtering through the paper panels, casting gentle geometric shadows on tatami. Quiet, contemplative atmosphere. Muted warm dawn tones, soft ochre light, cream paper texture, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG."
9,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles, mature posture) beginning to push herself up from the futon with both hands, halfway between lying and sitting. Tatami floor, futon, shoji with morning light. Expression of slow, careful effort. Muted warm tones, cream paper grain, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, dramatic action."
10,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles) sitting up in futon, one hand pressed to the edge of the futon for stability, eyes slightly unfocused, the room around her painted with a very subtle tilt or soft wavering at the edges to suggest a brief spell of dizziness. Tatami, shoji, morning light. Muted warm tones, cream paper, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, exaggerated drama."
11,SG_03_morning_incident,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Subtle visual metaphor: a Japanese bedroom ceiling with a very slight tilt in the painted perspective lines, as if the room tilted just a fraction. Soft, dreamlike quality. Minimal furnishing — just the ceiling, a hanging lamp cord, edge of a shelf. Muted warm tones, faded indigo, cream paper grain, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, heavy distortion."
12,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, gentle wrinkles, weathered hands) sitting still on the futon edge, one hand braced against the futon corner, eyes closed, waiting patiently for the feeling to pass. Tatami floor, shoji with morning light, calm stillness. Muted warm tones, cream paper texture, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, dramatic posing."
13,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles, resigned but calm expression) still seated on the futon, looking down at her hands with a quiet sigh, accepting the familiar feeling. Same tatami room, same morning light. Muted warm tones, cream paper grain, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift."
14,SG_03_morning_incident,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman (silver-gray hair, wrinkles, mature composure) slowly folding the futon cover with careful movements, beginning her morning routine with quiet resolve. Same tatami room, soft morning light now slightly brighter through shoji. Muted warm tones, cream paper texture, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift."
15,SG_04_viewer_connection,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. Same elderly Japanese woman narrator (silver-gray hair, wrinkles, warm eyes) facing slightly toward the viewer with a gentle, knowing expression, one hand resting on her chest as if sharing a relatable feeling. Simple warm background, kamishibai frame border. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid digital anime, glossy CG, photorealism, speech pose, lip sync."
16,SG_04_viewer_connection,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a kamishibai paper theater illustration in hand-painted gouache and watercolor on textured paper. An elderly Japanese person (silver-gray hair, wrinkles, indoor pajama-like clothes) just risen to sitting on a futon edge, feet finding floor slippers, a brief unsteady moment visible in the slight forward lean and hand reaching for a nearby wall. Japanese bedroom, morning light. Muted warm tones, cream paper, kamishibai frame. No readable text. Avoid photorealism, digital anime, glossy CG, youth drift, dramatic fall imagery."
