script_text,prompt_img_nano,prompt_video_veo3
毎日使っている脱衣所ですが、ここの安全を気にしたことはありますか。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A quiet Japanese dressing room (脱衣所) seen from the doorway — vinyl floor, small laundry machine beside a towel shelf, a wicker basket, and a mirror. Warm indoor light, no people visible. Flat soft colors, warm earth tones, low saturation, selective accent. Practical Japanese home details, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom, avoid cluttered compositions.","Subtle slow pan across the room. The air feels still as gentle shadows shift slightly on the vinyl floor. The mirror reflects a tiny glimmer of light. Preserve the quiet, warm, empty domestic atmosphere. (Silent video, no audio). No lip sync, no new readable text, no generated audio."
お風呂に入る前に服を脱いで、出てきたら体を拭いて着替える。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A medium shot inside a Japanese dressing room: a folded towel and neatly stacked casual clothes sit on a small shelf beside the bathroom door. A pair of indoor slippers rests on the vinyl floor. The scene suggests the routine of undressing before a bath and dressing afterward. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Gentle dolly forward. The folded towel and stacked clothes shift imperceptibly as if settling on the shelf. The indoor slippers cast a soft shadow that changes slightly with the light. Preserve the ordinary, calm routine feeling. (Silent video, no audio). No new readable text."
当たり前すぎて、なかなか見直す機会がないかもしれません。,"Generate a retro-clean 2D illustrated lifestyle handbook image. The same Japanese dressing room, seen slightly wider — everything looks ordinary and familiar, nothing obviously wrong. A small wall clock, a towel rack, the bathroom door slightly ajar. Calm, neutral domestic atmosphere. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Very slow upward tilt. The bathroom door gently swings a fraction of an inch to reveal a tiny wisp of steam. The wall clock hands appear motionless but catch the light. Preserve the calm, neutral domestic mood. (Silent video, no audio). No lip sync, no new readable text."
冬場に脱衣所に入ると、ひんやりした空気が足元から伝わってきますよね。,"Generate a retro-clean 2D illustrated lifestyle handbook image. Close-up of bare feet stepping onto a cold-looking vinyl floor in a Japanese dressing room during winter. Cool blue-gray tones on the floor suggest chill, contrasting with the warm doorway behind. Flat soft colors, selective cool accent for temperature contrast, object clarity. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Slow push-in on the feet. The bare toes flex ever so slightly as they feel the chill of the floor. The blue-gray cool tones subtly contrast with the warm background light shifting slightly. Preserve the cold temperature sensation. (Silent video, no audio). No new readable text, no generated audio."
ちょっと急いで服を脱いで、お風呂に飛び込みたくなることもあるかもしれません。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A Japanese dressing room in winter: the bathroom door is open with visible steam, and a set of clothes is draped hastily over a basket as if someone is in a hurry to get into the bath. Indoor atmosphere with a slight chill suggested by cool tones on walls. Flat soft colors, warm earth tones with cool accent, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Slight lateral camera drift. The hastily draped clothes on the basket shift slightly as if brushed by a draft. The steam from the open bathroom door drifts lazily outward. Preserve the chilly, rushed atmosphere. (Silent video, no audio). No new readable text."
でも実は、足元が冷たくて滑りやすかったり、気温の差が大きかったりして、ちょっとした不安を感じている方もいらっしゃるのではないでしょうか。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A symbolic split-feel composition of a Japanese dressing room: on one side, a close-up of a slightly wet vinyl floor suggesting slipperiness; on the other side, a thermometer icon showing a temperature gap between a warm living room and a cold dressing room. Clean diagram-like metaphor, low clutter. Flat soft colors, warm earth tones, selective accent. No readable text. Avoid photorealistic rendering, avoid infographic overload.","Controlled parallax drift across the split scene. The wet vinyl floor shines with a slight shifting reflection, while the thermometer icon holds steady. Preserve the clean diagram-like metaphor and contrast. (Silent video, no audio). No new readable text, no generated audio."
この動画では、脱衣所で気をつけておきたいポイントを三つに絞って、ひとつずつ一緒に確認していきます。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A Japanese dressing room seen at a calm angle — a small stool, a towel shelf, and the bathroom entry are visible. A soft warm overlay suggests the video will walk through this room together with the viewer. Inviting, practical domestic atmosphere. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Gentle inviting pan across the floor toward the bathroom entry. A soft warm light ray shifts across the small stool and towel shelf. Preserve the practical, inviting walkthrough mood. (Silent video, no audio). No lip sync, no new readable text."
大掛かりな工事の話ではありません。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A clean close-up of a hand gently placing a small cork mat on a dressing room floor, next to a compact ceramic heater and a folding stool — three simple items representing the three safety check points. Object clarity, practical Japanese home details. Flat soft colors, warm earth tones, selective accent. No readable text. Avoid photorealistic rendering, avoid cluttered compositions.","Subtle push-in. The hand gently places the cork mat down, adjusting it a fraction of an inch to lie flat next to the heater and stool. Preserve the calm, deliberate placement and object clarity. (Silent video, no audio). No new readable text, no lip sync."
今日からできる小さな見直しばかりです。,"Generate a retro-clean 2D illustrated lifestyle handbook image. Close-up of the same three objects from the previous row — cork mat, small ceramic heater, low stool — arranged neatly on the floor of a Japanese dressing room, looking simple and approachable. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Extremely slow push-in on the three objects. The ceramic heater catches a faint gleam of light. The cork mat texture looks warm and stable. Preserve the simple, approachable arrangement. (Silent video, no audio). No new readable text, no generated audio."
お風呂まわりの事故というと、浴室の中を思い浮かべる方が多いかもしれません。,"Generate a retro-clean 2D illustrated lifestyle handbook image. A wide view of a typical Japanese bathroom entrance area: the bathroom door, the adjacent dressing room, and a laundry area visible together. Calm, factual domestic atmosphere — the scene suggests this is a place where accidents can happen. Flat soft colors, warm earth tones, object clarity. No readable text. Avoid photorealistic rendering, avoid fear imagery, avoid Western-style bathroom.","Slow pan across the bathroom entrance area. The laundry machine casts a soft shadow that subtly shifts. The overall layout is calm and factual. Preserve the domestic atmosphere. (Silent video, no audio). No new readable text."
けれど、脱衣所もまた、注意しておきたい場所のひとつです。,"Generate a retro-clean 2D illustrated lifestyle handbook image. The same Japanese dressing room from a slightly different angle, with a subtle warm highlight on the floor area and the bathroom threshold, drawing gentle attention to this zone as a spot worth being careful about. Flat soft colors, warm earth tones, practical Japanese home details, object clarity. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom.","Gentle tilt down toward the floor and threshold. The warm highlight on the floor area softly pulses or shimmers to draw gentle attention. Preserve the practical Japanese home details. (Silent video, no audio). No new readable text, no generated audio."
