unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
1,first_frame_only,environment_breathing_pan,6,"Subtle slow pan across the room. The air feels still as gentle shadows shift slightly on the vinyl floor. The mirror reflects a tiny glimmer of light. Preserve the quiet, warm, empty domestic atmosphere. (Silent video, no audio). No lip sync, no new readable text, no generated audio."
2,first_frame_only,daily_pause_observe,6,"Gentle dolly forward. The folded towel and stacked clothes shift imperceptibly as if settling on the shelf. The indoor slippers cast a soft shadow that changes slightly with the light. Preserve the ordinary, calm routine feeling. (Silent video, no audio). No new readable text."
3,first_frame_only,environment_observe_tilt,6,"Very slow upward tilt. The bathroom door gently swings a fraction of an inch to reveal a tiny wisp of steam. The wall clock hands appear motionless but catch the light. Preserve the calm, neutral domestic mood. (Silent video, no audio). No lip sync, no new readable text."
4,first_frame_only,daily_action_follow,6,"Slow push-in on the feet. The bare toes flex ever so slightly as they feel the chill of the floor. The blue-gray cool tones subtly contrast with the warm background light shifting slightly. Preserve the cold temperature sensation. (Silent video, no audio). No new readable text, no generated audio."
5,first_frame_only,daily_pause_observe,6,"Slight lateral camera drift. The hastily draped clothes on the basket shift slightly as if brushed by a draft. The steam from the open bathroom door drifts lazily outward. Preserve the chilly, rushed atmosphere. (Silent video, no audio). No new readable text."
6,first_frame_only,process_layer_drift,4,"Controlled parallax drift across the split scene. The wet vinyl floor shines with a slight shifting reflection, while the thermometer icon holds steady. Preserve the clean diagram-like metaphor and contrast. (Silent video, no audio). No new readable text, no generated audio."
7,first_frame_only,environment_breathing_pan,6,"Gentle inviting pan across the floor toward the bathroom entry. A soft warm light ray shifts across the small stool and towel shelf. Preserve the practical, inviting walkthrough mood. (Silent video, no audio). No lip sync, no new readable text."
8,first_frame_only,object_in_use_micro,6,"Subtle push-in. The hand gently places the cork mat down, adjusting it a fraction of an inch to lie flat next to the heater and stool. Preserve the calm, deliberate placement and object clarity. (Silent video, no audio). No new readable text, no lip sync."
9,first_frame_only,object_inspection_push,4,"Extremely slow push-in on the three objects. The ceramic heater catches a faint gleam of light. The cork mat texture looks warm and stable. Preserve the simple, approachable arrangement. (Silent video, no audio). No new readable text, no generated audio."
10,first_frame_only,environment_breathing_pan,6,"Slow pan across the bathroom entrance area. The laundry machine casts a soft shadow that subtly shifts. The overall layout is calm and factual. Preserve the domestic atmosphere. (Silent video, no audio). No new readable text."
11,first_frame_only,environment_observe_tilt,6,"Gentle tilt down toward the floor and threshold. The warm highlight on the floor area softly pulses or shimmers to draw gentle attention. Preserve the practical Japanese home details. (Silent video, no audio). No new readable text, no generated audio."
12,first_frame_only,object_inspection_push,4,"Slow dolly forward toward the document. The paper and seal icon catch a subtle shifting light, looking official but unreadable. Preserve the calm, factual object-focused mood. (Silent video, no audio). No new readable text, no generated audio."
13,first_frame_only,process_layer_drift,4,"Gentle parallax layer drift. The ambulance icon subtly floats or pulses apart from the simplified bathing area illustration. Preserve the diagram-like clarity without fear imagery. (Silent video, no audio). No new readable text."
14,first_frame_only,process_layer_drift,4,"Slow lateral drift across the diagram. The connected dressing room and bathroom illustrations remain stable while the question-mark overlay has a very subtle breathing pulse. Preserve the clean metaphor. (Silent video, no audio). No new readable text."
15,first_frame_only,process_layer_drift,4,"Controlled parallax shift from left to right. The warm-to-cool gradient softly ripples, and the temperature-gap indicator subtly updates or holds steady. Preserve the symbolic contrast. (Silent video, no audio). No new readable text."
16,first_frame_only,environment_breathing_pan,6,"Gentle forward dolly down the hallway. The warm light from the living room stays constant while the cooler tones near the dressing room become more prominent. Preserve the transition feeling. (Silent video, no audio). No new readable text."
17,first_frame_only,environment_breathing_pan,6,"Slow, inviting push through the dressing room doorway. The clean, calm interior waits quietly, shadows shifting gracefully. Preserve the calm walkthrough mood. (Silent video, no audio). No new readable text, no generated audio."
18,first_frame_only,object_inspection_push,4,"Slow downward push toward the floor. The slightly shiny vinyl surface catches a shifting gleam of light, emphasizing its smoothness. Preserve the clean object-focused composition. (Silent video, no audio). No new readable text."
