unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
1,SG01_opening,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A quiet Japanese dressing room (脱衣所) seen from the doorway — vinyl floor, small laundry machine beside a towel shelf, a wicker basket, and a mirror. Warm indoor light, no people visible. Flat soft colors, warm earth tones, low saturation, selective accent. Practical Japanese home details, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom, avoid cluttered compositions."
2,SG01_opening,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A medium shot inside a Japanese dressing room: a folded towel and neatly stacked casual clothes sit on a small shelf beside the bathroom door. A pair of indoor slippers rests on the vinyl floor. The scene suggests the routine of undressing before a bath and dressing afterward. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
3,SG01_opening,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. The same Japanese dressing room, seen slightly wider — everything looks ordinary and familiar, nothing obviously wrong. A small wall clock, a towel rack, the bathroom door slightly ajar. Calm, neutral domestic atmosphere. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
4,SG01_opening,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. Close-up of bare feet stepping onto a cold-looking vinyl floor in a Japanese dressing room during winter. Cool blue-gray tones on the floor suggest chill, contrasting with the warm doorway behind. Flat soft colors, selective cool accent for temperature contrast, object clarity. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
5,SG01_opening,everyday_example,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A Japanese dressing room in winter: the bathroom door is open with visible steam, and a set of clothes is draped hastily over a basket as if someone is in a hurry to get into the bath. Indoor atmosphere with a slight chill suggested by cool tones on walls. Flat soft colors, warm earth tones with cool accent, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
6,SG01_opening,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A symbolic split-feel composition of a Japanese dressing room: on one side, a close-up of a slightly wet vinyl floor suggesting slipperiness; on the other side, a thermometer icon showing a temperature gap between a warm living room and a cold dressing room. Clean diagram-like metaphor, low clutter. Flat soft colors, warm earth tones, selective accent. No readable text. Avoid photorealistic rendering, avoid infographic overload."
7,SG01_opening,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A Japanese dressing room seen at a calm angle — a small stool, a towel shelf, and the bathroom entry are visible. A soft warm overlay suggests the video will walk through this room together with the viewer. Inviting, practical domestic atmosphere. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
8,SG01_opening,object_focus,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A clean close-up of a hand gently placing a small cork mat on a dressing room floor, next to a compact ceramic heater and a folding stool — three simple items representing the three safety check points. Object clarity, practical Japanese home details. Flat soft colors, warm earth tones, selective accent. No readable text. Avoid photorealistic rendering, avoid cluttered compositions."
9,SG01_opening,object_focus,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. Close-up of the same three objects from the previous row — cork mat, small ceramic heater, low stool — arranged neatly on the floor of a Japanese dressing room, looking simple and approachable. Flat soft colors, warm earth tones, object clarity, minimal clutter. No readable text. Avoid photorealistic rendering, avoid Western-style bathroom."
10,SG02_background,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a retro-clean 2D illustrated lifestyle handbook image. A wide view of a typical Japanese bathroom entrance area: the bathroom door, the adjacent dressing room, and a laundry area visible together. Calm, factual domestic atmosphere — the scene suggests this is a place where accidents can happen. Flat soft colors, warm earth tones, object clarity. No readable text. Avoid photorealistic rendering, avoid fear imagery, avoid Western-style bathroom."
